TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200309,6.081,1.0,194.915,67.852,1.0,306.475,1.0,2.285,1.0,101.195,1.0,0.347,1.0,2.612,0.0,0.185692108063,0.917361111111,-9999,-9999,-9999,-9999,-9999,-9999,341.047284722,1.0,377.656,0.999306,0.219,5.337,3.143,1.0,1.0,1.0,0.78691,1.0,8.68598,1.0,-9999,0.165402,4.28618,1.0,-9999,0.371893,1.00396,0.9875,0.0067305,0.970643,1.00396,1.02407,0.997917,0.9875,0.969444,1.0813,1.0883,1.10319,1.11594,0.0690111,0.0963599,0.108891,0.127058,1.30437,1.28971,1.34378,1.36939,0.284815,0.165711,0.244638,0.277766,-9999,-9999
200310,-6.86,1.0,76.9993,35.632,1.0,246.999,1.0,0.705,1.0,101.364,1.0,0.003,1.0,2.884,0.0,0.203864176926,0.858198924731,-9999,-9999,-9999,-9999,-9999,-9999,279.222634409,1.0,358.457,1.0,-1.974,-4.743,-0.878,1.0,1.0,1.0,-1.18246,1.0,2.67171,1.0,-9999,0.0788873,-7.07644,1.0,-9999,0.313713,0.470322,0.982527,0.00482068,0.462418,0.470322,0.474636,0.987903,0.982527,0.981183,0.468254,0.457061,0.462582,0.466572,-0.00638133,-0.0148204,-0.00638133,0.000154198,0.407072,0.408363,0.4153,0.417437,0.00422157,0.00162823,0.0041331,0.00467253,-9999,-9999
200311,-22.911,1.0,11.1027,4.91,1.0,202.563,1.0,0.299,1.0,101.69,1.0,0.0,1.0,2.541,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,218.835965278,1.0,365.31,0.897222,-10.153,-7.184,-1.094,1.0,1.0,1.0,-3.277,1.0,0.231972,0.925694,-9999,0.0184419,-3.44547,0.907639,-9999,0.194972,0.179453,0.804167,0.00386998,0.177591,0.179453,0.185527,0.788194,0.804167,0.834722,0.0917613,0.0832004,0.0915084,0.0921457,-0.0866206,-0.0991617,-0.0938146,-0.0897973,0.137579,0.11981,0.137579,0.154599,0.00420883,0.0,0.000448321,0.00419816,-9999,-9999
200312,-32.893,1.0,0.0,0.08,1.0,180.692,1.0,0.138,1.0,100.898,0.999328,0.0,0.999328,2.098,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,186.461893445,0.999327956989,365.771,0.540323,-13.842,-11.377,-7.321,1.0,1.0,1.0,-4.74144,1.0,0.210926,0.465726,-9999,0.012591,-3.07194,0.466398,-9999,0.217786,0.0926544,0.0356183,0.0176201,0.0779482,0.0902349,0.0926544,0.0356183,0.0383065,0.0356183,0.0735596,0.0735596,0.0754875,0.0759398,-0.0113664,-0.0166795,-0.016135,-0.00968687,0.037831,0.0228516,0.0280698,0.045262,6.94927e-05,0.0,4.02118e-06,7.54038e-05,-9999,-9999
200401,-31.647,1.0,2.60414,1.546,1.0,180.738,1.0,0.187,1.0,102.575,1.0,0.0,1.0,2.043,0.106855,-9999,-9999,-8.22756048387,1.0,-9999,-9999,1.53362231183,1.0,188.978676075,1.0,363.32,0.0,-16.045,-14.152,-11.84,1.0,1.0,1.0,-4.77315,0.21707,0.880265,0.478495,-9999,-9999,-9.40988,0.478495,-9999,0.198944,0.0221382,0.465054,-9999,0.0197857,0.0221295,0.0237176,0.438172,0.465054,0.465054,0.00195175,0.0,0.0,0.00164437,-0.0205321,-0.0237173,-0.0221293,-0.018294,0.0115438,0.00859578,0.0113764,0.0119836,0.00935753,0.0,0.0,7.76864e-05,-9999,-9999
200402,-37.296,1.0,43.3047,14.195,1.0,169.264,0.997126,0.124,1.0,102.264,1.0,0.0,1.0,1.908,0.0,-9999,-9999,-6.96096264368,1.0,-9999,-9999,20.2393031609,1.0,169.769712644,1.0,364.274,0.0,-17.069,-15.683,-13.644,1.0,1.0,1.0,-5.33184,0.0,0.734291,0.0,-9999,-9999,-9.60958,0.0,-9999,-9999,-0.00458177,0.0,-9999,-0.00351289,0.00913654,0.0158551,0.0,0.0,0.0,0.000355805,0.0,0.0,0.000270557,-0.0172067,-0.017292,-0.00887917,0.00348614,0.00387984,0.00273959,0.00382359,0.00402767,0.0230776,0.0,0.0,0.00071261,-9999,-9999
200403,-23.839,1.0,144.711,92.446,1.0,179.49,1.0,0.401,1.0,101.873,1.0,0.003,1.0,2.225,0.0,-9999,-9999,-5.21685752688,0.997983870968,-9999,-9999,68.9847043011,1.0,207.515194892,1.0,371.149,0.0,-14.934,-14.519,-13.686,1.0,1.0,1.0,-3.88724,0.0322581,-0.0378056,0.0,-9999,0.0922852,-3.87079,0.0,-9999,0.283597,-0.0268251,0.0,-9999,-0.0307174,0.00970276,0.0178683,0.0,0.0,0.0,0.00625323,4.11463e-08,4.88177e-08,0.00546597,-0.00255724,-0.0143526,-0.00422715,0.0268252,0.0241884,0.0198898,0.0241884,0.0253401,0.0366974,0.0,0.0,0.0046306,-9999,-9999
200404,-15.623,1.0,282.565,191.391,1.0,197.957,1.0,0.71,1.0,101.231,1.0,0.01,1.0,2.496,0.570139,0.103425513495,0.525694444444,2.24443315412,0.997222222222,-9999,-9999,148.462353856,0.995138888889,237.391973634,0.995138888889,373.305,0.888194,-12.942,-12.576,-12.093,1.0,1.0,1.0,-9999,1.0,0.394262,0.892361,-9999,0.0305002,-2.89397,0.893056,-9999,0.177667,0.0177759,0.51875,0.0021969,0.0153895,0.0315262,0.0423676,0.533333,0.774306,0.314583,0.0136203,0.00365021,0.010175,0.0120446,-0.0245001,-0.0374785,-0.0245001,-0.0124933,0.0413185,0.0337886,0.0409735,0.0432761,0.046669,1.879e-05,2.46964e-05,0.0082983,-9999,-9999
200405,0.618,1.0,413.697,251.788,1.0,265.286,1.0,2.325,1.0,101.036,1.0,0.068,1.0,3.277,0.905914,0.165031220201,0.881048387097,61.8432258065,1.0,-9999,-9999,135.924083202,0.985887096774,313.138280474,0.985887096774,375.505,1.0,-2.471,-4.237,-6.428,1.0,1.0,1.0,-9999,1.0,6.02605,1.0,-9999,0.126764,15.3394,0.999328,-9999,0.662273,0.152165,0.946237,0.00296838,0.147256,0.152165,0.159359,0.955645,0.946237,0.910618,0.210837,0.191764,0.201773,0.22176,0.0505953,0.0419398,0.0496078,0.0643967,0.217607,0.211652,0.218501,0.526013,0.972022,0.103179,0.108786,0.972022,-9999,-9999
200406,12.747,1.0,486.257,238.502,1.0,323.445,1.0,6.686,1.0,100.706,1.0,0.537,1.0,3.491,0.684722,0.283112612283,0.636805555556,150.854518765,0.999305555556,-9999,-9999,32.9041875,1.0,377.890423611,1.0,372.717,0.959028,11.139,8.884,-0.839,1.0,1.0,1.0,-9999,1.0,40.7504,0.951389,-9999,0.397494,37.9315,0.950694,-9999,0.559022,-0.0917348,0.949306,0.0139071,-0.113364,-0.0933501,-0.0874004,0.951389,0.95,0.947222,1.00144,0.937942,1.00144,1.07265,1.0934,1.04874,1.11268,1.15411,1.80806,1.65557,1.74532,1.93299,3.04052,2.48443,2.55355,3.04052,-9999,-9999
